mm,mdd,dd,hr,Ts_C,VPD,u,"precip, mm","P, kPa","O3, ppb","PAR, W m-2"
4,6,96,10,14.61,0.76183,0.95,0,93.13,43.887,682.03
4,6,96,11,16.43,1.0341,1.03,0,93.12,50.044,764.78
4,6,96,12,18.81,1.40845,1.15,0,92.85,54.941,855.64
4,6,96,13,18.46,1.35327,1.09,0,93.04,57.479,834.6
4,6,96,14,18.65,1.37391,1.04,0,92.96,58.346,759.51
4,6,96,15,16.87,1.13542,0.98,0,92.79,58.002,566.46
4,6,96,16,18.17,1.272,0.89,0,92.84,56.253,418.01
4,6,96,17,17.52,1.15454,0.79,0,92.82,53.1,241.6
4,6,96,18,11.65,0.36334,0.38,0,92.8,48.404,58.82
4,6,96,19,15.13,0.76079,0.34,0,92.79,46.637,0
4,6,96,20,13.39,0.62276,0.28,0,92.8,44.854,0
4,6,96,21,9.18,0.33141,0.19,0,92.86,42.734,0
4,6,96,22,10.82,0.45063,0.2,0,92.81,41.053,0
4,6,96,23,10,0.36235,0.22,0,92.83,39.616,0
4,7,97,0,6.78,0.10219,0.23,0,92.69,38.086,0
4,7,97,1,8.4,0.21344,0.08,0,92.82,36.803,0
4,7,97,2,7.6,0.21595,0.08,0,92.77,36.346,0
4,7,97,3,6.66,0.26237,0.2,0,92.83,35.641,0
4,7,97,4,6.73,0.15049,0.09,0,92.72,36.672,0
4,7,97,5,6.69,0.16314,0.18,0,92.77,37.22,0
4,7,97,6,11.36,0.56898,0.49,0.003,92.82,32.584,12.26
4,7,97,7,8.23,0.25398,0.58,0.003,92.83,28.278,226.93
4,7,97,8,9.79,0.37696,0.65,0.003,92.82,27.78,437.15
4,7,97,9,15.86,0.95146,0.48,0,92.89,28.874,590.63
4,7,97,10,12.85,0.61558,0.65,0,92.84,39.338,724.82
4,7,97,11,14.35,0.75841,0.81,0,92.86,47.111,811.82
4,7,97,12,13.8,0.68771,0.97,0.023,92.93,52.429,650.45
4,7,97,13,15.17,0.80032,0.98,0.023,92.9,55.526,634.6
4,7,97,14,14.48,0.68848,1,0.023,92.91,56.014,577.51
4,7,97,15,12.14,0.41666,1,0.043,92.9,54.208,540.26
4,7,97,16,13.25,0.51101,0.91,0.043,92.92,51.198,399.38
4,7,97,17,12.7,0.44134,0.84,0.043,92.91,47.625,232
4,7,97,18,9.74,0.15775,0.76,0,92.91,45.367,62.08
4,7,97,19,11.34,0.28105,0.69,0,92.9,44.672,0
4,7,97,20,10.54,0.19822,0.53,0,92.91,43.76,0
4,7,97,21,8.07,0.0098,0.34,0,92.92,41.425,0
4,7,97,22,9.18,0.10871,0.29,0,92.91,38.745,0
4,7,97,23,8.63,0.0822,0.24,0,92.92,35.974,0
4,8,98,0,6.04,0,0.21,0.007,92.83,32.929,0
4,8,98,1,7.4,0.05662,0.2,0.007,92.9,29.992,0
4,8,98,2,6.73,0.05425,0.19,0.007,92.87,27.432,0
4,8,98,3,5.87,0.04349,0.18,0,92.9,25.383,0
4,8,98,4,5.98,0.06296,0.21,0,92.85,25.082,0
4,8,98,5,5.92,0.06728,0.24,0,92.87,26.222,0
4,8,98,6,12.2,0.57034,0.27,0,93.06,26.925,16.44
4,8,98,7,7.96,0.1239,0.86,0,92.94,36.666,240.36
4,8,98,8,10.07,0.26238,1.01,0,92.99,41.709,457.44
4,8,98,9,13.6,0.56473,1.16,0.057,93.12,46.189,633.82
4,8,98,10,12.66,0.47024,1.18,0.057,93.07,50.217,776.44
4,8,98,11,13.13,0.51549,1.2,0.057,93.09,53.325,868.81
4,8,98,12,11.17,0.32957,1.23,0.563,93.09,54.611,649.96
4,8,98,13,12.79,0.45727,1.19,0.563,93.11,54.375,633.94
4,8,98,14,11.98,0.35515,1.15,0.563,93.1,53.125,577.02
4,8,98,15,9.76,0.13443,1.12,0.353,93.17,50.887,541.14
4,8,98,16,10.69,0.21381,1.13,0.353,93.11,48.063,400.76
4,8,98,17,10.22,0.17282,1.13,0.353,93.13,45.682,233.88
4,8,98,18,8.74,0.04743,1.1,0.06,93.32,45.537,51.02
4,8,98,19,9.41,0.12361,0.98,0.06,93.2,46.408,0
4,8,98,20,9.07,0.12068,0.84,0.06,93.25,46.252,0
4,8,98,21,8.1,0.07451,0.69,0.007,93.32,44.829,0
4,8,98,22,8.53,0.1119,0.66,0.007,93.32,43.08,0
4,8,98,23,8.31,0.102,0.62,0.007,93.32,41.367,0
4,9,99,0,7.67,0.06186,0.58,0.003,93.34,39.791,0
4,9,99,1,7.95,0.09533,0.6,0.003,93.32,38.845,0
4,9,99,2,7.81,0.09802,0.62,0.003,93.33,38.345,0
4,9,99,3,6.95,0.04973,0.64,0.007,93.45,38.153,0
4,9,99,4,7.42,0.10091,0.66,0.007,93.36,38.283,0
4,9,99,5,7.18,0.10135,0.69,0.007,93.4,38.604,0
4,9,99,6,10.26,0.35569,0.72,0.007,93.48,37.679,19.88
4,9,99,7,8.05,0.15672,0.99,0.007,93.46,38.2,239.25
4,9,99,8,9.15,0.21393,1.05,0.007,93.47,39.678,450.69
4,9,99,9,12.59,0.48907,1.08,0.07,93.53,41.677,615.65
4,9,99,10,11.03,0.31826,1.13,0.07,93.49,44.324,752.91
4,9,99,11,11.81,0.36202,1.17,0.07,93.51,47.062,841.73
4,9,99,12,12.31,0.38235,1.21,0.12,93.56,48.995,759.26
4,9,99,13,12.49,0.40109,1.21,0.12,93.54,49.565,740.47
4,9,99,14,12.4,0.39284,1.2,0.12,93.55,49.071,674.02
4,9,99,15,10.71,0.23851,1.2,0.03,93.61,47.739,514.04
4,9,99,16,11.77,0.3502,1.13,0.03,93.57,45.737,381.18
4,9,99,17,11.24,0.31613,1.04,0.03,93.59,43.284,223.4
4,9,99,18,8.62,0.09746,0.88,0,93.73,41.719,49.36
4,9,99,19,10,0.22917,0.78,0,93.64,41.232,0
4,9,99,20,9.31,0.19477,0.67,0,93.68,40.328,0
4,9,99,21,7.8,0.10699,0.55,0,93.86,38.822,0
4,9,99,22,8.33,0.16053,0.57,0,93.76,37.729,0
4,9,99,23,8.06,0.15257,0.59,0,93.8,37.133,0
4,10,100,0,7.12,0.09748,0.61,0,93.83,36.884,0
4,10,100,1,7.58,0.13882,0.56,0,93.85,36.426,0
4,10,100,2,7.35,0.1325,0.51,0,93.84,35.758,0
4,10,100,3,6.34,0.07351,0.47,0,93.88,34.787,0
4,10,100,4,6.86,0.11943,0.47,0,93.84,33.849,0
4,10,100,5,6.6,0.11259,0.47,0,93.86,32.895,0
4,10,100,6,10.07,0.38445,0.46,0,93.92,30.77,24.11
4,10,100,7,7.58,0.18838,0.8,0,93.89,34.659,246.16
4,10,100,8,8.82,0.2675,0.87,0,93.9,37.996,459.01
4,10,100,9,14.32,0.7604,0.92,0.007,93.88,40.798,650.18
4,10,100,10,11.49,0.44738,0.94,0.007,93.91,44.454,793.73
4,10,100,11,12.91,0.55,0.98,0.007,93.9,48.137,886.63
4,10,100,12,15.75,0.82579,1.02,0.027,93.76,50.745,897.91
4,10,100,13,14.81,0.70021,0.97,0.027,93.85,51.671,875.35
4,10,100,14,15.29,0.73638,0.93,0.027,93.81,51.435,796.98
4,10,100,15,14.49,0.62979,0.88,0.017,93.79,50.422,674.13
4,10,100,16,15.33,0.7281,0.84,0.017,93.77,48.438,500.65
4,10,100,17,14.91,0.68364,0.77,0.017,93.78,45.389,294.78
4,10,100,18,10.06,0.12834,0.49,0,93.92,41.221,71.24
4,10,100,19,13,0.42687,0.43,0,93.82,38.987,0
4,10,100,20,11.52,0.32006,0.34,0,93.86,36.937,0
4,10,100,21,7.83,0.09317,0.2,0,93.98,34.43,0
4,10,100,22,9.31,0.21589,0.2,0,93.93,32.466,0
4,10,100,23,8.57,0.16849,0.19,0,93.95,31.022,0
4,11,101,0,5.25,0,0.2,0,93.97,29.685,0
4,11,101,1,6.97,0.08901,0.15,0,93.98,28,0
4,11,101,2,6.11,0.06046,0.11,0,93.97,26.084,0
4,11,101,3,3.61,0,0.1,0,93.94,23.813,0
4,11,101,4,4.71,0.03579,0.09,0,93.96,21.581,0
4,11,101,5,4.16,0.02746,0.1,0,93.95,19.595,0
4,11,101,6,11.88,0.62153,0.11,0,93.94,17.873,28.94
4,11,101,7,6.37,0.08907,0.52,0,93.94,33.779,254.82
4,11,101,8,9.12,0.25022,0.51,0,93.94,38.401,470.15
4,11,101,9,16.91,0.99855,0.48,0,93.78,41.115,655.29
4,11,101,10,13.57,0.66316,0.53,0,93.9,44.451,798.36
4,11,101,11,15.25,0.8917,0.57,0,93.85,48.049,891.02
4,11,101,12,18.97,1.41328,0.62,0,93.52,51.857,927.4
4,11,101,13,17.62,1.27863,0.61,0,93.72,55.547,903.78
4,11,101,14,18.31,1.41965,0.61,0,93.64,58.104,823.11
4,11,101,15,16.96,1.29403,0.61,0,93.37,59.437,690.5
4,11,101,16,18.31,1.48661,0.61,0,93.49,59.022,513.6
4,11,101,17,17.64,1.41653,0.6,0,93.44,56.608,304.13
4,11,101,18,10.43,0.41965,0.22,0,93.45,50.39,75.35
4,11,101,19,14.78,0.91511,0.22,0,93.39,46.786,0
4,11,101,20,12.6,0.77301,0.2,0,93.41,43.856,0
4,11,101,21,7.23,0.46228,0.17,0,93.44,40.958,0
4,11,101,22,9.36,0.59823,0.17,0,93.45,38.731,0
4,11,101,23,8.3,0.49341,0.19,0,93.44,37.268,0
4,12,102,0,5.69,0.29271,0.21,0,93.36,36.476,0
4,12,102,1,6.72,0.34274,0.22,0,93.42,36.085,0
4,12,102,2,6.21,0.29088,0.24,0,93.4,35.53,0
4,12,102,3,5.08,0.20287,0.26,0,93.31,34.079,0
4,12,102,4,5.49,0.21199,0.35,0,93.35,31.914,0
4,12,102,5,5.29,0.18015,0.41,0,93.33,29.618,0
4,12,102,6,11.86,0.66344,0.46,0,93.29,27.46,34.03
4,12,102,7,7.34,0.26272,0.86,0,93.31,38.259,260.93
4,12,102,8,9.6,0.39865,0.85,0,93.3,50.006,475.79
4,12,102,9,17.83,1.227,0.81,0,93.22,57.48,660.29
4,12,102,10,13.86,0.81048,0.84,0,93.27,64.552,803.01
4,12,102,11,15.85,1.08541,0.87,0,93.25,69.042,895.21
4,12,102,12,20.22,1.72628,0.91,0,93,71.419,931.14
4,12,102,13,18.65,1.5059,0.87,0,93.17,71.831,907.36
4,12,102,14,19.45,1.62651,0.84,0,93.1,71.497,826.57
4,12,102,15,18.32,1.47702,0.8,0,92.95,70.723,693.81
4,12,102,16,19.59,1.64941,0.79,0,92.99,68.938,517.2
4,12,102,17,18.96,1.55294,0.76,0,92.97,65.738,307.95
4,12,102,18,11.26,0.50701,0.37,0,92.98,59.585,79.25
4,12,102,19,15.96,1.04879,0.32,0,92.96,56.42,0
4,12,102,20,13.61,0.8606,0.27,0,92.97,53.752,0
4,12,102,21,7.98,0.49765,0.18,0,93.06,50.534,0
4,12,102,22,10.16,0.63528,0.19,0,93,47.779,0
4,12,102,23,9.07,0.51488,0.21,0,93.02,45.233,0
4,13,103,0,6.41,0.29337,0.24,0,93,42.091,0
4,13,103,1,7.46,0.3454,0.28,0,93.05,38.186,0
4,13,103,2,6.94,0.28703,0.32,0,93.03,34.068,0
4,13,103,3,5.3,0.15814,0.36,0,92.98,30.481,0
4,13,103,4,6.04,0.19312,0.36,0,93,27.888,0
4,13,103,5,5.67,0.15696,0.37,0,92.99,26.145,0
4,13,103,6,11.96,0.63288,0.37,0,93,24.279,39.03
4,13,103,7,7.52,0.24856,0.74,0,92.98,27.138,266.5
4,13,103,8,9.74,0.39913,0.68,0,92.99,30.463,480.81
4,13,103,9,19.66,1.48755,0.58,0,93.01,31.522,664.63
4,13,103,10,14.53,0.87321,0.51,0,93,42.848,806.98
4,13,103,11,17.09,1.20787,0.57,0,93.01,49.883,898.72
4,13,103,12,21.17,1.81688,0.74,0,92.88,55.314,934.12
4,13,103,13,20.18,1.67039,0.66,0,92.98,59.14,910.24
4,13,103,14,20.68,1.75564,0.59,0,92.94,61.718,829.33
4,13,103,15,19.01,1.51735,0.52,0,92.83,63.311,696.56
4,13,103,16,20.45,1.72573,0.55,0,92.87,63.811,520.14
4,13,103,17,19.73,1.61633,0.55,0,92.85,62.746,311.21
4,13,103,18,12.25,0.47753,0.21,0,92.92,57.886,82.72
4,13,103,19,16.75,1.02121,0.19,0,92.85,55.356,0
4,13,103,20,14.49,0.85173,0.17,0,92.88,53.191,0
4,13,103,21,8.58,0.46927,0.13,0,92.95,50.717,0
4,13,103,22,11.02,0.6629,0.14,0,92.93,48.735,0
4,13,103,23,9.8,0.5526,0.15,0,92.94,47.15,0
4,14,104,0,6.7,0.31599,0.17,0,92.92,45.58,0
4,14,104,1,7.96,0.40013,0.17,0,92.94,43.603,0
4,14,104,2,7.33,0.35152,0.17,0,92.93,42.104,0
4,14,104,3,5.26,0.21191,0.17,0,92.97,41.177,0
4,14,104,4,6.22,0.26953,0.16,0,92.93,40.609,0
4,14,104,5,5.74,0.23593,0.15,0,92.95,40.274,0
4,14,104,6,14.54,0.97986,0.13,0,92.96,39.128,43.92
4,14,104,7,8.35,0.36742,0.49,0,92.97,43.728,271.54
4,14,104,8,11.45,0.57506,0.39,0,92.96,48.677,485.29
4,14,104,9,22.24,1.88844,0.23,0,92.96,51.016,668.61
4,14,104,10,17.11,1.13923,0.22,0,92.96,62.315,810.47
4,14,104,11,19.67,1.50804,0.27,0,92.96,66.225,901.8
4,14,104,12,22.99,2.06955,0.36,0,92.9,69.631,936.3
4,14,104,13,22.5,1.96787,0.34,0,92.95,72.065,912.34
4,14,104,14,22.75,1.99741,0.33,0,92.93,73.608,831.36
4,14,104,15,19.92,1.53113,0.32,0,92.92,74.327,698.9
4,14,104,16,21.96,1.87344,0.31,0,92.9,74.087,522.78
4,14,104,17,20.94,1.72083,0.32,0,92.91,72.585,314.16
4,14,104,18,13.33,0,0.08,0,93.09,66.396,85.94
4,14,104,19,17.71,0.16829,0.05,0,92.96,62.392,0
4,14,104,20,15.51,0.23398,0.04,0,93.01,59.205,0
4,14,104,21,9.62,0.48936,0.14,0,93.11,56.074,0
4,14,104,22,12.09,0.68968,0.01,0,93.09,53.356,0
4,14,104,23,10.85,0.57886,0.03,0,93.1,52.019,0
4,15,105,0,7.53,0.32516,0.08,0,93.02,50.958,0
4,15,105,1,8.93,0.4355,0.06,0,93.09,49.832,0
4,15,105,2,8.24,0.39172,0.05,0,93.06,48.765,0
4,15,105,3,6.36,0.26936,0.1,0,93.08,47.541,0
4,15,105,4,7.13,0.32418,0.07,0,93.03,45.824,0
4,15,105,5,6.74,0.29883,0.06,0,93.05,43.883,0
4,15,105,6,17.07,1.27653,0.06,0,93.15,41.501,48.67
4,15,105,7,9.92,0.48346,0.28,0,93.1,46.099,276.28
4,15,105,8,13.49,0.77395,0.24,0,93.12,49.457,489.39
4,15,105,9,23.45,2.10224,0.22,0,93.17,49.632,672.08
4,15,105,10,19.19,1.40674,0.26,0,93.15,65.369,813.48
4,15,105,11,21.32,1.71964,0.31,0,93.16,70.792,904.39
4,15,105,12,23.17,2.02496,0.35,0.027,93.12,74.013,931.4
4,15,105,13,23.36,2.03202,0.23,0.027,93.16,75.776,907.44
4,15,105,14,23.27,2.02707,0.25,0.027,93.14,77.024,827.01
4,15,105,15,20.75,1.63626,0.38,0,93.1,77.883,701.01
4,15,105,16,22.37,1.91671,0.28,0,93.12,78.273,525.07
4,15,105,17,21.56,1.80658,0.21,0,93.11,78.028,316.85
4,15,105,18,14.51,0,0.02,0,93.07,73.435,89.35
4,15,105,19,18.67,0,0.03,0,93.09,72.105,0
4,15,105,20,16.59,0.37279,0.06,0,93.08,71.104,0
4,15,105,21,10.91,0.54779,0.13,0,93.05,69.99,0
4,15,105,22,13.31,0.76373,0.14,0,93.07,68.51,0
4,15,105,23,12.11,0.63851,0.15,0,93.06,66.754,0
4,16,106,0,8.84,0.35287,0.18,0,92.95,64.187,0
4,16,106,1,10.23,0.46676,0.17,0,93.03,60.221,0
4,16,106,2,9.54,0.41776,0.19,0,92.99,54.706,0
4,16,106,3,7.96,0.30938,0.24,0,92.95,48.04,0
4,16,106,4,8.55,0.34649,0.25,0,92.95,41.321,0
4,16,106,5,8.25,0.31797,0.25,0,92.95,36.348,0
4,16,106,6,15.99,1.04526,0.25,0,93,32.392,53.72
4,16,106,7,10.63,0.46482,0.69,0,92.96,30.806,281.32
4,16,106,8,13.31,0.66315,0.64,0,92.98,30.227,493.88
4,16,106,9,22.25,1.80168,0.56,0,92.91,30.073,517.82
4,16,106,10,18.09,1.17876,0.58,0,92.98,59.383,625.6
4,16,106,11,20.17,1.47624,0.7,0,92.95,68.196,694.96
4,16,106,12,24.04,2.12842,0.88,0,92.52,71.297,937.68
4,16,106,13,22.89,1.89148,0.85,0,92.82,72.024,913.02
4,16,106,14,23.48,1.97348,0.82,0,92.69,71.642,832.49
4,16,106,15,21.95,1.68557,0.79,0,92.34,70.509,668.89
4,16,106,16,23.36,1.94255,0.75,0,92.48,68.232,501.87
4,16,106,17,22.66,1.83435,0.69,0,92.42,64.703,304.6
4,16,106,18,15.08,0.58433,0.31,0,92.32,58.212,93.56
4,16,106,19,19.66,1.2199,0.24,0,92.34,54.172,0
4,16,106,20,17.37,0.99625,0.17,0,92.33,50.788,0
4,16,106,21,12,0.62095,0.09,0.01,92.22,46.752,0
4,16,106,22,14.06,0.6828,0.02,0.01,92.3,43.873,0
4,16,106,23,13.04,0.61044,0.05,0.01,92.26,41.747,0
4,17,107,0,11.61,0.48636,0.14,0.02,92.21,39.144,0
4,17,107,1,11.87,0.43396,0.05,0.02,92.22,36.269,0
4,17,107,2,11.74,0.35068,0.03,0.02,92.21,33.813,0
4,17,107,3,12.17,0.44469,0.09,0.467,92.16,31.023,0
4,17,107,4,11.8,0.35205,0.04,0.467,92.2,28.605,0
4,17,107,5,11.99,0.28733,0.02,0.467,92.18,27.007,0
4,17,107,6,17.92,0.9523,0.02,0,91.98,25.616,55.8
4,17,107,7,14.11,0.4747,0.15,0,92.12,33.181,269.16
4,17,107,8,16.02,0.63452,0.15,0,92.06,38.521,467.91
4,17,107,9,18.89,0.96575,0.22,0.53,91.9,42.216,667.94
4,17,107,10,18.25,0.83099,0.25,0.53,91.96,48.811,805.45
4,17,107,11,18.57,0.84665,0.4,0.53,91.94,53.922,893.81
4,17,107,12,17.11,0.60579,0.56,0.917,91.81,57.173,658.55
4,17,107,13,18.31,0.71696,0.62,0.917,91.88,58.185,641.46
4,17,107,14,17.71,0.58544,0.76,0.917,91.85,58.218,584.98
4,17,107,15,14.84,0.18496,0.92,1.18,91.73,57.259,302.49
4,17,107,16,16.36,0.34622,0.84,1.18,91.79,55.396,227.47
4,17,107,17,15.6,0.23867,0.74,1.18,91.77,52.495,138.79
4,17,107,18,11.18,0,0.42,0.183,92.14,48.794,97.03
4,17,107,19,13.58,0,0.33,0.183,91.82,46.717,0
4,17,107,20,12.36,0,0.26,0.183,91.96,44.806,0
4,17,107,21,9.86,0,0.16,0.117,92.07,41.736,0
4,17,107,22,10.75,0.06066,0.11,0.117,92.12,38.473,0
4,17,107,23,10.31,0.04292,0.08,0.117,92.1,35.548,0
4,18,108,0,9.89,0.00902,0.08,0.027,92.04,32.721,0
4,18,108,1,9.87,0.04509,0.09,0.027,92.06,30.865,0
4,18,108,2,9.88,0.05919,0.12,0.027,92.05,30.146,0
4,18,108,3,9.7,0.04946,0.16,0.05,92.09,29.967,0
4,18,108,4,9.82,0.06689,0.16,0.05,92.05,29.455,0
4,18,108,5,9.76,0.06769,0.16,0.05,92.07,28.607,0
4,18,108,6,11.82,0.2485,0.17,0.013,92.48,27.048,63.35
4,18,108,7,10.37,0.08118,0.16,0.013,92.18,29.975,288.81
4,18,108,8,11.07,0.18233,0.65,0.013,92.31,33.681,497.8
4,18,108,9,14.04,0.48164,1.09,0.047,92.4,38.209,672.52
4,18,108,10,12.57,0.32894,1.03,0.047,92.46,44.365,809.93
4,18,108,11,13.31,0.39983,0.99,0.047,92.44,50.958,898.17
4,18,108,12,14.71,0.5477,0.97,0.373,92.16,55.738,782.52
4,18,108,13,14.29,0.45856,0.94,0.373,92.35,57.199,761.94
4,18,108,14,14.51,0.4387,0.92,0.373,92.27,56.878,694.99
4,18,108,15,14.03,0.33532,0.9,0.257,92.14,55.434,650.18
4,18,108,16,14.49,0.36616,0.85,0.257,92.16,52.965,489.59
4,18,108,17,14.26,0.31541,0.78,0.257,92.15,49.524,299.76
4,18,108,18,10.8,0,0.53,0.04,92.11,46.35,98.92
4,18,108,19,12.96,0.11888,0.49,0.04,92.13,45.119,0
4,18,108,20,11.88,0.09124,0.46,0.04,92.12,43.864,0
4,18,108,21,9.87,0.02061,0.42,0.01,92.02,42.34,0
4,18,108,22,10.5,0.09052,0.42,0.01,92.09,40.914,0
4,18,108,23,10.19,0.08344,0.41,0.01,92.06,39.191,0
4,19,109,0,9.49,0.04595,0.42,0,91.96,36.837,0
4,19,109,1,9.75,0.07529,0.39,0,92.01,34.076,0
4,19,109,2,9.62,0.07444,0.37,0,91.99,31.548,0
4,19,109,3,9.43,0.06871,0.35,0.11,91.96,29.601,0
4,19,109,4,9.47,0.07101,0.33,0.11,91.96,28.384,0
4,19,109,5,9.45,0.06781,0.33,0.11,91.96,27.54,0
4,19,109,6,10.86,0.18451,0.35,0.14,91.99,26.087,53.52
4,19,109,7,9.9,0.08352,0.68,0.14,91.97,29.134,228.91
4,19,109,8,10.38,0.12551,0.72,0.14,91.98,32.298,391.52
4,19,109,9,12.52,0.32616,0.75,0.213,91.92,35.228,558.9
4,19,109,10,11.42,0.20668,0.77,0.213,91.97,38.882,672.02
4,19,109,11,11.97,0.24281,0.8,0.213,91.95,43.256,744.57
4,19,109,12,13.55,0.38646,0.82,0.407,91.68,46.903,777.55
4,19,109,13,12.89,0.26682,0.82,0.407,91.87,48.568,757.04
4,19,109,14,13.23,0.25011,0.82,0.407,91.79,48.573,690.72
4,19,109,15,12.86,0.16047,0.81,0.407,91.62,47.027,557.33
4,19,109,16,13.33,0.19796,0.74,0.407,91.67,44.324,420.42
4,19,109,17,13.1,0.16304,0.66,0.407,91.65,40.747,258.71
4,19,109,18,11.98,0,0.39,0.36,91.61,37.367,81.62
4,19,109,19,12.57,0,0.34,0.36,91.62,36.059,0
4,19,109,20,12.27,0.01789,0.3,0.36,91.61,34.774,0
4,19,109,21,11.1,0,0.28,0.293,91.54,32.944,0
4,19,109,22,11.69,0.08709,0.3,0.293,91.59,31.721,0
4,19,109,23,11.4,0.09165,0.33,0.293,91.57,31.316,0
4,20,110,0,10.8,0.06702,0.36,0.057,91.44,31.139,0
4,20,110,1,11.01,0.09377,0.34,0.057,91.52,30.682,0
4,20,110,2,10.91,0.0911,0.33,0.057,91.48,30.427,0
4,20,110,3,9.82,0.00224,0.33,0.01,91.39,30.647,0
4,20,110,4,10.48,0.07329,0.27,0.01,91.43,30.816,0
4,20,110,5,10.15,0.06375,0.21,0.01,91.41,30.694,0
4,20,110,6,10.69,0.13534,0.15,0.057,91.4,29.468,63.35
4,20,110,7,10.11,0.03571,0.41,0.057,91.39,33.344,255.68
4,20,110,8,10.4,0.09775,0.36,0.057,91.4,35.831,433.64
4,20,110,9,13.8,0.46908,0.29,0.07,91.31,37.863,655.53
4,20,110,10,11.74,0.23965,0.31,0.07,91.38,41.122,786.9
4,20,110,11,12.77,0.31323,0.33,0.07,91.35,45.067,871.09
4,20,110,12,15.02,0.52612,0.36,0.133,91.17,48.843,929.28
4,20,110,13,14.22,0.22968,0.1,0.133,91.28,52.022,904.82
4,20,110,14,14.63,0.38928,0.16,0.133,91.23,55.206,825.75
4,20,110,15,13.95,0.4034,0.4,0.253,91.18,56.728,681.97
4,20,110,16,14.66,0.43563,0.4,0.253,91.17,56.511,515.47
4,20,110,17,14.31,0.35257,0.39,0.253,91.18,53.953,318.69
4,20,110,18,11.74,0.02216,0.34,1.213,91.2,48.935,45.08
4,20,110,19,13.21,0,0.31,1.213,91.18,45.691,0
4,20,110,20,12.47,0.05598,0.47,1.213,91.19,43.437,0
4,20,110,21,10.35,0,0.69,0.283,91.36,43.037,0
4,20,110,22,11.26,0.06144,0.74,0.283,91.24,43.994,0
4,20,110,23,10.8,0.06462,0.83,0.283,91.29,44.852,0
4,21,111,0,8.87,0,0.95,0,91.41,44.989,0
4,21,111,1,9.85,0.06395,0.87,0,91.37,44.025,0
4,21,111,2,9.36,0.06017,0.8,0,91.39,42.201,0
4,21,111,3,7.61,0,0.74,0,91.53,39.97,0
4,21,111,4,8.44,0.05143,0.72,0,91.44,38.352,0
4,21,111,5,8.02,0.04554,0.71,0,91.48,38.082,0
4,21,111,6,11.84,0.38651,0.7,0.02,91.61,38.225,79.07
4,21,111,7,9.01,0.02067,0.85,0.02,91.55,40.725,304.75
4,21,111,8,10.42,0.07811,0.96,0.02,91.57,44.075,513.32
4,21,111,9,13.67,0.31269,0.99,0.033,91.67,47.471,656.51
4,21,111,10,12.44,0.20956,0.99,0.033,91.62,51.647,787.32
4,21,111,11,13.05,0.28511,1.01,0.033,91.64,56.035,870.87
4,21,111,12,15.04,0.50887,1.03,0.023,91.7,59.267,954.34
4,21,111,13,14.12,0.4399,1.03,0.023,91.68,59.923,929.35
4,21,111,14,14.58,0.51941,1.04,0.023,91.69,58.642,848.15
4,21,111,15,13.33,0.41631,1.06,0.01,91.8,56.254,716.04
4,21,111,16,14.46,0.58832,1.03,0.01,91.72,53.166,541.9
4,21,111,17,13.89,0.57155,0.97,0.01,91.76,49.707,336
4,21,111,18,9.26,0.09822,0.72,0,91.95,46.49,110.69
4,21,111,19,11.96,0.35055,0.65,0,91.83,45.557,0
4,21,111,20,10.6,0.26433,0.57,0,91.88,44.863,0
4,21,111,21,6.32,0.00816,0.51,0,92.07,43.348,0
4,21,111,22,8.27,0.19112,0.56,0,91.98,41.3,0
4,21,111,23,7.29,0.15857,0.61,0,92.02,39.362,0
4,22,112,0,4.82,0.03274,0.66,0,92.04,37.814,0
4,22,112,1,5.82,0.11249,0.65,0,92.06,36.892,0
4,22,112,2,5.32,0.09865,0.64,0,92.05,36.643,0
4,22,112,3,3.15,0,0.64,0,92.18,36.673,0
4,22,112,4,4.25,0.0825,0.64,0,92.07,37.143,0
4,22,112,5,3.69,0.08081,0.64,0,92.12,37.722,0
4,22,112,6,7.75,0.3696,0.64,0,92.32,37.259,83.52
4,22,112,7,4.67,0.16086,0.87,0,92.21,37.907,309.73
4,22,112,8,6.2,0.24955,0.81,0,92.26,39.211,518.78
4,22,112,9,14.12,0.91667,0.71,0,92.31,40.842,303.82
4,22,112,10,9.87,0.50008,0.59,0,92.32,43.579,363.92
4,22,112,11,12,0.67219,0.46,0,92.31,46.858,402.32
4,22,112,12,16.31,1.1086,0.32,0,92.13,50.805,914.63
4,22,112,13,14.87,0.96937,0.4,0,92.27,55.131,890.31
4,22,112,14,15.6,1.06763,0.47,0,92.21,59.113,812.72
4,22,112,15,15.18,1.03414,0.55,0,92.2,61.724,612.78
4,22,112,16,15.93,1.11558,0.54,0,92.15,62.065,464.26
4,22,112,17,15.55,1.06486,0.51,0,92.17,60.007,288.8
4,22,112,18,9.37,0.01965,0.21,0,92.52,54.19,113.26
4,22,112,19,13.21,0.54406,0.2,0,92.27,50.235,0
4,22,112,20,11.28,0.52237,0.19,0,92.38,46.221,0
4,22,112,21,5.94,0.33802,0.1,0,92.6,41.298,0
4,22,112,22,8.22,0.49692,0.09,0,92.54,37.023,0
4,22,112,23,7.08,0.41688,0.08,0,92.56,33.276,0
4,23,113,0,4.18,0.23741,0.09,0,92.5,29.766,0
4,23,113,1,5.36,0.30579,0.08,0,92.58,26.595,0
4,23,113,2,4.78,0.26824,0.08,0,92.54,23.78,0
4,23,113,3,2.97,0.164,0.08,0,92.59,21.254,0
